"geography","geography_name","grade","n_enrolled","pct_no_record","pct_pbe","pct_me","pct_re","pct_utd_mmr","pct_utd_polio","pct_utd_dtap","pct_utd_hepb","pct_utd_chickenpox","pct_utd_tdap","pct_utd_mcv4"
38085,"Sioux County","11",172,7.52168604651163,0,0,0,96.5479651162791,94.5866860465116,NA,95.8575581395349,95.8575581395349,93.8955813953488,84.7036046511628
38085,"Sioux County","7",336,4.29550595238095,0,0,0.89452380952381,95.3538690476191,95.3538690476191,NA,94.4073511904762,95.3538690476191,95.003244047619,94.1127678571428
38085,"Sioux County","Kindergarten",310,5.64638709677419,0.968032258064516,0,0,91.6252580645161,91.6252580645161,91.6252580645161,91.6252580645161,91.6252580645161,NA,NA
38087,"Slope County","7",12,0,10,0,0,80,80,NA,90,80,40,40
38087,"Slope County","Kindergarten",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38089,"Stark County","11",2203,0.553676804357694,1.93141625056741,1.2304176123468,0.779986382206083,95.6022968679074,96.924552882433,NA,97.0614934180663,96.3260463004993,95.1647662278711,90.9080935088516
38089,"Stark County","7",2934,0.783445807770961,3.20395705521472,0.237845944103613,1.2278527607362,94.4080811179278,94.3729822767553,NA,94.3727266530334,94.4750715746421,91.9543387866394,91.2717075664622
38089,"Stark County","Kindergarten",3485,0.316149210903874,6.23543758967002,0.486771879483501,1.35309038737446,91.2333945480631,91.6183730272597,91.4446800573888,92.7594634146341,91.2416327116212,NA,NA
38091,"Steele County","11",77,0,0,0,0,93.5063636363636,93.5063636363636,NA,93.5063636363636,93.5063636363636,90.9097402597402,90.9097402597402
38091,"Steele County","7",85,4.26470588235294,3.52894117647059,0,1.17647058823529,92.2063529411765,92.2063529411765,NA,91.0298823529412,92.2063529411765,88.6769411764706,88.6769411764706
38091,"Steele County","Kindergarten",50,0,5.9996,0,0,86.0012,88.0004,86.0012,92.0012,86.0012,NA,NA
38093,"Stutsman County","11",1273,1.91589159465829,2.06459544383346,0,1.10743912018853,96.8299450117832,82.0642340926944,NA,96.9953417124902,96.4311861743912,95.7947054202671,89.5792772977219
38093,"Stutsman County","7",2079,9.7194227994228,2.09513708513709,0.0481914381914382,0.241091871091871,97.2791341991342,97.5220683020683,NA,97.8127224627225,97.2803655603656,93.783771043771,93.8802501202501
38093,"Stutsman County","Kindergarten",1502,1.39834886817577,2.44505992010652,0.133155792276964,1.16195739014647,94.5093475366178,94.7860652463382,94.1004860186418,96.0600798934754,94.1672636484687,NA,NA
38095,"Towner County","11",142,2.11281690140845,3.52105633802817,0,1.4093661971831,95.7735211267606,95.7735211267606,NA,95.0689436619718,92.9558450704225,92.9564084507042,91.5480985915493
38095,"Towner County","7",198,1.51575757575758,1.53570707070707,0,0,95.9380303030303,95.4327777777778,NA,96.4432828282828,95.4324747474747,90.3637878787879,89.8585353535353
38095,"Towner County","Kindergarten",162,0.617037037037037,1.85074074074074,0,0,97.5322222222222,98.1487654320988,98.1487654320988,98.7658024691358,97.5322222222222,NA,NA
38097,"Traill County","11",528,0,0.568560606060606,0,0.566988636363636,98.6752462121212,98.1075378787879,NA,98.8644507575758,98.485928030303,98.1067613636364,94.8720454545455
38097,"Traill County","7",662,1.36093655589124,1.05761329305136,0,0.302749244712991,97.4317824773414,97.4273564954683,NA,97.4282326283988,97.4317824773414,93.657084592145,92.8956797583081
38097,"Traill County","Kindergarten",721,0,1.53156726768377,0.138349514563107,0.418030513176144,97.4961026352288,97.2191539528433,97.2191539528433,97.6344521497919,97.2198196948682,NA,NA
38099,"Walsh County","11",742,0.54489218328841,1.63012129380054,0,0.13800539083558,97.5500539083558,97.5469137466307,NA,98.0856064690027,97.0006469002695,97.2806469002695,94.8313611859838
38099,"Walsh County","7",676,0,1.49954142011834,0,0.15310650887574,98.0514349112426,98.3523520710059,NA,98.0609763313609,97.760798816568,96.5714053254438,96.418298816568
38099,"Walsh County","Kindergarten",868,1.15364055299539,3.57266129032258,0,0.347730414746544,95.6154262672811,95.6130760368664,95.6154262672811,96.3067165898617,95.5002188940092,NA,NA
38101,"Ward County","11",4392,1.11504098360656,1.20790528233151,0.114649362477231,0.341994535519126,98.0162408925319,97.924408014572,NA,98.0852459016394,97.4,97.0357809653916,92.5709426229508
38101,"Ward County","7",4901,0.245713119771475,1.54897775964089,0.14222199551112,0.512040399918384,97.0977902468884,97.0142889206284,NA,97.0361660885534,96.5239155274434,94.891424199143,94.5637278106509
38101,"Ward County","Kindergarten",6585,0.469489749430524,2.98055580865604,0.259155656795748,1.47608807896735,94.1295975702354,94.4023963553531,94.312782080486,95.2408063781321,94.0226697038724,NA,NA
38103,"Wells County","11",249,9.63947791164659,1.60574297188755,0,0.802409638554217,96.3847389558233,95.9831325301205,NA,96.3855020080321,96.3853413654619,94.7793975903614,79.5185140562249
38103,"Wells County","7",298,3.3555033557047,3.68953020134228,0,1.00630872483221,93.2909731543624,93.6263422818792,NA,94.6320469798658,92.6167785234899,88.9272147651007,88.2554362416107
38103,"Wells County","Kindergarten",300,2.667,8.00036666666667,0,0.332733333333333,89.3339666666667,89.3341666666667,89.0009666666667,93.6660666666667,88.6672,NA,NA
38105,"Williams County","11",2454,2.11075387123064,1.19110839445803,0,1.68180929095355,94.7970048899755,94.9965688671557,NA,94.8763080684597,93.6894254278729,92.5719804400978,80.822249388753
38105,"Williams County","7",3086,1.49243681140635,2.25416720674012,0.195933246921581,0.888046014257939,94.6073039533376,94.322602073882,NA,94.8396370706416,94.1333182112767,84.098347375243,81.0676506804925
38105,"Williams County","Kindergarten",4284,3.5274299719888,3.87575630252101,0.28125116713352,3.4065873015873,84.7989239028945,85.1272152194211,84.1229435107376,86.9015266106443,84.7739752567694,NA,NA
